Ecoregion,Longitude,Latitude,Time,BIO 11,BIO 15,BIO 6,Climate Difference
CCV,-119.0202,34.8949,2050,78.4,82,24,18.2
CCV,-119.0202,34.8949,2080,88.6,83,31,0
CCV,-119.0202,34.8949,Current,58,83,5,38.4
CCV,-119.0034,34.9374,2050,97.6,83.6,32.8,17.4
CCV,-119.0034,34.9374,2080,108,83.6,39.8,0
CCV,-119.0034,34.9374,Current,78,84,14,38
CCV,-119,35,2050,109.6,83,39,18.6
CCV,-119,35,2080,119.8,84.2,46.2,0
CCV,-119,35,Current,89,81,21,40.6
CCV,-118.9344,34.8191,2050,73.4,83.6,23,19.2
CCV,-118.9344,34.8191,2080,83.8,85,30.4,0
CCV,-118.9344,34.8191,Current,53,83,4,40
CCV,-118.066,36.6016,2050,75.4,78.6,-7.6,27.8
CCV,-118.066,36.6016,2080,86,86,2.2,0
CCV,-118.066,36.6016,Current,54,64,-27,55.4
CCV,-118.06194,36.60611,2050,75.4,78.6,-7.6,27.8
CCV,-118.06194,36.60611,2080,86,86,2.2,0
CCV,-118.06194,36.60611,Current,54,64,-27,55.4
CCV,-118.0205,36.3084,2050,78.8,77.8,0.6,27.4
CCV,-118.0205,36.3084,2080,89,85,10.6,0
CCV,-118.0205,36.3084,Current,57,69,-19,50.2
CCV,-118,36,2050,34,68.8,-27.4,20.6
CCV,-118,36,2080,44.6,68.4,-17,0
CCV,-118,36,Current,13,70,-47,39.4
SD,-114.7297,32.6992,2050,157.4,70,70.4,33
SD,-114.7297,32.6992,2080,169.6,78.2,83,0
SD,-114.7297,32.6992,Current,134,57,49,57.8
SD,-114.701715,33.357665,2050,153.2,81.2,67.4,36.6
SD,-114.701715,33.357665,2080,165,93.6,79.8,0
SD,-114.701715,33.357665,Current,130,55,47,69.8
SD,-114.681811,33.279979,2050,154,81.6,68.4,36.4
SD,-114.681811,33.279979,2080,165.4,94,81,0
SD,-114.681811,33.279979,Current,131,55,48,70
SD,-114.539609,32.830153,2050,163.4,70.2,80.6,36.2
SD,-114.539609,32.830153,2080,175,82.2,93.2,0
SD,-114.539609,32.830153,Current,140,53,59,62.2
SD,-113.53507,34.2933,2050,132.6,69.2,38,34.8
SD,-113.53507,34.2933,2080,143.8,80.2,50.6,0
SD,-113.53507,34.2933,Current,109,47,16,67.8
UHP,-113.51674,37.278484,2050,31,40.4,-45.2,31.4
UHP,-113.51674,37.278484,2080,43.2,45.8,-31.4,0
UHP,-113.51674,37.278484,Current,6,29,-69,60.2
UHP,-113.080988,37.178509,2050,75.8,46.8,-3.8,35.6
UHP,-113.080988,37.178509,2080,89.2,54.4,10.8,0
UHP,-113.080988,37.178509,Current,49,34,-28,63.8
UHP,-112.948,37.2847,2050,32.8,40.8,-49.8,35.2
UHP,-112.948,37.2847,2080,46.2,48,-35.2,0
UHP,-112.948,37.2847,Current,6,26,-76,67.8
UHP,-112.9473,37.2716,2050,23.8,40.2,-57.8,34.6
UHP,-112.9473,37.2716,2080,37.2,46.8,-43.2,0
UHP,-112.9473,37.2716,Current,-3,27,-84,66.2
UHP,-112.9469,37.2569,2050,34.8,41.8,-47.8,34.4
UHP,-112.9469,37.2569,2080,48,48.4,-33.2,0
UHP,-112.9469,37.2569,Current,7,27,-74,68.8
UHP,-112.9363,37.2722,2050,22.8,40.2,-58.8,35
UHP,-112.9363,37.2722,2080,36.6,46.8,-44.2,0
UHP,-112.9363,37.2722,Current,-4,27,-85,66.2
SD,-112.6923833,33.93303333,2050,124.2,65.6,29,33.2
SD,-112.6923833,33.93303333,2080,136,72.8,43.2,0
SD,-112.6923833,33.93303333,Current,100,48,8,62.8
SD,-112.5087957,36.388038,2050,93.2,67.2,7.8,42.6
SD,-112.5087957,36.388038,2080,105,83.4,22.4,0
SD,-112.5087957,36.388038,Current,69,30,-14,83.2
SD,-112.4261315,34.58281123,2050,61.2,71.6,-25,35.2
SD,-112.4261315,34.58281123,2080,73.2,80.4,-10.6,0
SD,-112.4261315,34.58281123,Current,38,52,-44,61.8
SD,-112.09895,34.23375,2050,109.2,64,23.4,36.8
SD,-112.09895,34.23375,2080,121,74.4,38,0
SD,-112.09895,34.23375,Current,86,43,4,63.6
SD,-112.096204,36.102908,2050,13.4,47.4,-64,34
SD,-112.096204,36.102908,2080,25.6,54.2,-49,0
SD,-112.096204,36.102908,Current,-11,33,-87,61.8
UHP,-111.956117,37.250656,2050,46.2,54,-33.6,38
UHP,-111.956117,37.250656,2080,60,62.6,-18,0
UHP,-111.956117,37.250656,Current,19,26,-60,81.6
UHP,-111.89383,37.29257,2050,39.6,55.2,-40,37
UHP,-111.89383,37.29257,2080,53.4,62.6,-24.2,0
UHP,-111.89383,37.29257,Current,12,28,-67,81.8
UHP,-111.8,37.4,2050,30.8,52.4,-49.2,38.2
UHP,-111.8,37.4,2080,45,60.2,-33,0
UHP,-111.8,37.4,Current,2,29,-77,80
SD,-111.722515,34.680332,2050,92.2,56.6,3,37
SD,-111.722515,34.680332,2080,103.6,67.4,17.8,0
SD,-111.722515,34.680332,Current,68,38,-17,62.8
SD,-111.71379,33.98393,2050,131.4,59.6,44.4,36.6
SD,-111.71379,33.98393,2080,143.2,69.8,59,0
SD,-111.71379,33.98393,Current,108,43,25,59.4
SD,-111.615042,34.405326,2050,93.2,55,4.2,34.4
SD,-111.615042,34.405326,2080,104.6,63.4,18.8,0
SD,-111.615042,34.405326,Current,69,40,-16,59.4
UHP,-111.43883,37.87355,2050,14,48.4,-62,39.6
UHP,-111.43883,37.87355,2080,28.6,55.8,-44.4,0
UHP,-111.43883,37.87355,Current,-16,31,-94,79.4
UHP,-111.3,37.9,2050,16.2,49.4,-58,38.8
UHP,-111.3,37.9,2080,31,55.6,-40.2,0
UHP,-111.3,37.9,Current,-14,32,-91,80.6
SD,-111.293737,33.537225,2050,130.8,55,54,33
SD,-111.293737,33.537225,2080,142.6,62.2,68,0
SD,-111.293737,33.537225,Current,108,45,34,52.8
SD,-111.25607,33.79281,2050,116.6,56.6,31.2,34
SD,-111.25607,33.79281,2080,128.2,64.4,45.8,0
SD,-111.25607,33.79281,Current,93,44,11,56.4
UHP,-111.24743,38.2878,2050,28,56,-51,36.4
UHP,-111.24743,38.2878,2080,42.6,58.8,-32,0
UHP,-111.24743,38.2878,Current,-3,38,-86,84
SD,-111.03675,32.29428,2050,139,73,44.6,35.8
SD,-111.03675,32.29428,2080,151,82.6,58.8,0
SD,-111.03675,32.29428,Current,115,61,25,55.6
UHP,-111,37.4,2050,44,51,-30,40.4
UHP,-111,37.4,2080,58.2,59.4,-12.2,0
UHP,-111,37.4,Current,14,29,-61,83
UHP,-111,37.9,2050,28.6,51,-48.2,40
UHP,-111,37.9,2080,43.6,57.4,-29.6,0
UHP,-111,37.9,Current,-2,33,-82,82.4
UHP,-110.89703,38.364136,2050,22,48.4,-67.2,40.2
UHP,-110.89703,38.364136,2080,37.4,53.6,-47.6,0
UHP,-110.89703,38.364136,Current,-9,34,-103,81.2
UHP,-110.87,37.76,2050,34.4,50.8,-43.6,39.4
UHP,-110.87,37.76,2080,49.2,56.8,-25,0
UHP,-110.87,37.76,Current,4,32,-77,82.6
SD,-110.76495,32.98896667,2050,130.8,62.2,41.4,36.8
SD,-110.76495,32.98896667,2080,142.4,73.4,55.4,0
SD,-110.76495,32.98896667,Current,107,47,22,58.4
SD,-110.76305,31.53638,2050,107.2,86.8,17.8,34
SD,-110.76305,31.53638,2080,119.4,94.2,32.2,0
SD,-110.76305,31.53638,Current,83,83,-2,47.8
SD,-110.7185667,32.3385,2050,101.8,67.4,26,32.2
SD,-110.7185667,32.3385,2080,113.8,73.4,40.2,0
SD,-110.7185667,32.3385,Current,78,60,7,50.2
SD,-110.642924,32.733295,2050,128.6,67.6,39.2,38.4
SD,-110.642924,32.733295,2080,140.2,80.6,53,0
SD,-110.642924,32.733295,Current,105,53,20,57.4
UHP,-110.489812,37.962199,2050,32.4,48.2,-51,37.8
UHP,-110.489812,37.962199,2080,47.6,51.6,-31.8,0
UHP,-110.489812,37.962199,Current,2,30,-86,83.6
SD,-110.1935,31.72485,2050,111.2,101.8,14.8,36.6
SD,-110.1935,31.72485,2080,123.4,111,30,0
SD,-110.1935,31.72485,Current,88,95,-3,47.8
SD,-110.1734667,31.62425,2050,112.8,102.6,18.8,36.8
SD,-110.1734667,31.62425,2080,125.4,111.2,34.4,0
SD,-110.1734667,31.62425,Current,89,94,1,50.2
UHP,-110.11,37.63,2050,22,41.8,-46.4,40.6
UHP,-110.11,37.63,2080,37.4,47.8,-27.2,0
UHP,-110.11,37.63,Current,-9,28,-80,78.4
SD,-110.10747,31.43822,2050,112.2,104,20.2,36.2
SD,-110.10747,31.43822,2080,124.4,112.2,36,0
SD,-110.10747,31.43822,Current,88,96,2,50.4
SD,-109.50027,32.88558,2050,99.2,75.8,-3,36
SD,-109.50027,32.88558,2080,111.6,85.4,11,0
SD,-109.50027,32.88558,Current,76,61,-21,56
SD,-109.30889,32.96585,2050,98.8,73.6,-7.6,34.6
SD,-109.30889,32.96585,2080,110.4,83,6,0
SD,-109.30889,32.96585,Current,75,58,-26,57.8
